Característica,Importancia
ambito_secundario_Familia,0.16374879
ambito_secundario_General,0.08699575
peso_ambito_secundario,0.07048369
ambito_secundario_Amigos y relaciones,0.06435692
ambito_secundario_Autopercepción y emociones,0.058791857
ambito_secundario_Entorno exterior,0.043224487
ambito_secundario_Actividades extraescolares,0.041604847
ambito_max_peso_Familia,0.039178554
ambito_secundario_Entorno en clase,0.03833551
ambito_secundario_Académico,0.031045306
ambito_secundario_desconocido,0.026644988
objetivo_Exploración,0.022071177
ambito_max_peso_General,0.01986623
Entorno en clase_conteo_resp,0.01869417
ambito_max_peso_Amigos y relaciones,0.017033078
